treatment,Toxicity
"Carboplatin, Docetaxel, Pemetrexed, Vinorelbine, Allopurinol, Amlodipine, Atenolol, Lorazepam",7.0
"Carboplatin, Docetaxel, Gemcitabine, Pemetrexed, Acetaminophen, Omeprazole",6.0
"Carboplatin, Etoposide, Vinorelbine, Atenolol, Omeprazole",6.0
"Cisplatin, Docetaxel, Gemcitabine, Pemetrexed, Atorvastatin",6.0
"Carboplatin, Docetaxel, Pemetrexed, Omeprazole, Simvastatin",5.0
"Carboplatin, Gemcitabine, Paclitaxel, Vinorelbine, Atorvastatin",5.0
"Carboplatin, Paclitaxel, Atorvastatin, Levofloxacin, Omeprazole",5.0
"Crizotinib, Atorvastatin, Enalapril, Enoxaparin, Omeprazole",5.0
"Gemcitabine, Paclitaxel, Atorvastatin, Furosemide, Metformin, Omeprazole",5.0
"Carboplatin, Docetaxel, Paclitaxel, Pemetrexed, Omeprazole",5.0
"Alectinib, Ceritinib, Crizotinib, Omeprazole, Prednisone",5.0
"Cisplatin, Docetaxel, Pemetrexed, Vinorelbine, Enalapril, Omeprazole",5.0
"Carboplatin, Docetaxel, Paclitaxel, Vinorelbine, Acetaminophen, Omeprazole",5.0
"Carboplatin, Etoposide, Atenolol, Atorvastatin, Lorazepam, Metformin, Omeprazole",4.0
"Ipilimumab, Nivolumab, Atenolol, Atorvastatin, Omeprazole",4.0
"Carboplatin, Vinorelbine, Atenolol, Atorvastatin, Furosemide, Lorazepam, Metformin, Omeprazole",4.0
"Carboplatin, Etoposide, Ibuprofen, Omeprazole, Prednisone",4.0
"Carboplatin, Pemetrexed, Dexamethasone, Lorazepam, Omeprazole",4.0
"Cisplatin, Docetaxel, Gemcitabine, Pemetrexed, Vinorelbine, Metformin, Omeprazole",4.0
"Carboplatin, Vinorelbine, Acetaminophen, Allopurinol, Amlodipine, Atorvastatin, Omeprazole, Prednisone",4.0
"Carboplatin, Pemetrexed, Allopurinol, Omeprazole, Simvastatin",4.0
"Ipilimumab, Nivolumab, Atenolol, Atorvastatin, Omeprazole, Simvastatin",4.0
"Cisplatin, Paclitaxel, Atorvastatin, Enalapril, Metformin, Omeprazole",4.0
"Carboplatin, Paclitaxel, Atorvastatin, Enalapril, Omeprazole",4.0
"Carboplatin, Etoposide, Furosemide, Metformin, Omeprazole",4.0
"Carboplatin, Etoposide, Atenolol, Atorvastatin, Omeprazole",4.0
"Carboplatin, Etoposide, Allopurinol, Enalapril, Omeprazole",4.0
"Alectinib, Crizotinib, Ibuprofen, Omeprazole, Prednisone",4.0
"Cisplatin, Docetaxel, Pemetrexed, Dexamethasone, Fentanyl, Lorazepam, Omeprazole",4.0
"Erlotinib, Allopurinol, Atorvastatin, Gentamicin, Metformin, Omeprazole, Simvastatin, Sulfamethoxazole, Trimethoprim",4.0
"Carboplatin, Gemcitabine, Pemetrexed, Atenolol, Atorvastatin, Enalapril, Omeprazole, Simvastatin",4.0
"Cisplatin, Vinorelbine, Allopurinol, Atorvastatin, Gentamicin, Metformin, Omeprazole, Simvastatin, Sulfamethoxazole, Trimethoprim",4.0
"Cisplatin, Paclitaxel, Vinorelbine, Dexamethasone, Enoxaparin, Metoclopramide, Omeprazole",4.0
"Carboplatin, Docetaxel, Paclitaxel, Vinorelbine, Omeprazole",4.0
"Cisplatin, Allopurinol, Amlodipine, Atenolol, Lorazepam",4.0
"Carboplatin, Atorvastatin, Enalapril, Metformin, Omeprazole",4.0
"Docetaxel, Dexamethasone, Enoxaparin, Metoclopramide, Omeprazole",4.0
"Carboplatin, Allopurinol, Atorvastatin, Gentamicin, Metformin, Omeprazole, Simvastatin, Sulfamethoxazole, Trimethoprim",4.0
"Cisplatin, Docetaxel, Pemetrexed, Amlodipine, Simvastatin",4.0
"Carboplatin, Etoposide, Amlodipine, Metformin, Simvastatin",4.0
"Carboplatin, Paclitaxel, Acetaminophen, Lorazepam, Simvastatin",4.0
"Carboplatin, Etoposide, Acetaminophen, Atorvastatin, Ranitidine",3.0
"Afatinib, Gefitinib, Enalapril, Omeprazole, Ranitidine",3.0
"Carboplatin, Etoposide, Allopurinol, Atorvastatin, Furosemide",3.0
"Carboplatin, Pemetrexed, Ciprofloxacin, Ibuprofen, Omeprazole",3.0
"Carboplatin, Etoposide, Enalapril, Omeprazole, Simvastatin",3.0
"Cisplatin, Vinorelbine, Atenolol, Omeprazole, Simvastatin",3.0
"Carboplatin, Paclitaxel, Atenolol, Omeprazole, Simvastatin",3.0
"Alectinib, Crizotinib, Atorvastatin, Enalapril, Omeprazole",3.0
"Carboplatin, Etoposide, Atorvastatin, Enalapril, Furosemide",3.0
"Carboplatin, Vinorelbine, Atenolol, Atorvastatin, Omeprazole",3.0
"Cisplatin, Vinorelbine, Atorvastatin, Enalapril, Omeprazole",3.0
"Carboplatin, Vinorelbine, Atorvastatin, Omeprazole, Salbutamol",3.0
"Vinorelbine, Atorvastatin, Enalapril, Metformin, Omeprazole, Simvastatin",3.0
"Carboplatin, Vinorelbine, Atorvastatin, Enalapril, Omeprazole",3.0
"Carboplatin, Etoposide, Atorvastatin, Ibuprofen, Omeprazole",3.0
"Nivolumab, Acetaminophen, Amlodipine, Enalapril, Omeprazole, Simvastatin",3.0
"Carboplatin, Vinorelbine, Amoxicillin, Metformin, Simvastatin",3.0
"Carboplatin, Paclitaxel, Atenolol, Dexamethasone, Omeprazole, Prednisone",3.0
"Carboplatin, Paclitaxel, Enalapril, Omeprazole, Simvastatin",3.0
"Carboplatin, Etoposide, Pemetrexed, Enalapril, Furosemide, Omeprazole",3.0
"Carboplatin, Docetaxel, Paclitaxel, Omeprazole, Ranitidine",3.0
"Carboplatin, Etoposide, Acetaminophen, Allopurinol, Amlodipine, Atorvastatin, Metformin, Omeprazole",3.0
"Carboplatin, Vinorelbine, Amlodipine, Atenolol, Atorvastatin, Enalapril, Metformin, Omeprazole",3.0
"Carboplatin, Etoposide, Acetaminophen, Atenolol, Atorvastatin, Furosemide, Metformin, Omeprazole",3.0
"Cisplatin, Gemcitabine, Paclitaxel, Vinorelbine, Allopurinol, Enalapril, Omeprazole",3.0
"Carboplatin, Docetaxel, Pemetrexed, Metformin, Omeprazole, Simvastatin",3.0
"Carboplatin, Pemetrexed, Amlodipine, Atenolol, Atorvastatin, Omeprazole, Prednisone",3.0
"Carboplatin, Etoposide, Amlodipine, Atenolol, Omeprazole, Prednisone",3.0
"Carboplatin, Docetaxel, Paclitaxel, Vinorelbine, Simvastatin",3.0
"Carboplatin, Vinorelbine, Amlodipine, Levofloxacin, Omeprazole, Simvastatin",3.0
"Cisplatin, Vinorelbine, Atorvastatin, Furosemide, Metformin, Omeprazole",3.0
"Carboplatin, Pemetrexed, Vinorelbine, Lormetazepam, Omeprazole",3.0
"Carboplatin, Etoposide, Acetaminophen, Atorvastatin, Omeprazole, Tramadol",3.0
"Carboplatin, Etoposide, Atorvastatin, Enalapril, Metformin, Omeprazole",3.0
"Carboplatin, Etoposide, Allopurinol, Atenolol, Furosemide, Human_immunoglobulin_g, Omeprazole, Simvastatin, Spironolactone",3.0
"Carboplatin, Paclitaxel, Pemetrexed, Enalapril, Metformin, Omeprazole",3.0
"Carboplatin, Docetaxel, Gemcitabine, Atorvastatin, Omeprazole, Simvastatin",3.0
"Carboplatin, Paclitaxel, Atenolol, Atorvastatin, Omeprazole, Simvastatin",3.0
"Carboplatin, Vinorelbine, Atenolol, Enalapril, Metformin, Simvastatin",3.0
"Carboplatin, Etoposide, Ibuprofen, Metoclopramide, Omeprazole, Salbutamol",3.0
"Carboplatin, Etoposide, Amlodipine, Atorvastatin, Enalapril, Omeprazole",3.0
"Carboplatin, Vinorelbine, Enalapril, Metformin, Omeprazole, Simvastatin",3.0
"Carboplatin, Pemetrexed, Allopurinol, Amlodipine, Metformin, Simvastatin",3.0
"Necitumumab, Atenolol, Atorvastatin, Omeprazole, Simvastatin",2.0
"Afatinib, Erlotinib, Gefitinib, Omeprazole, Ranitidine",2.0
"Osimertinib, Atenolol, Atorvastatin, Furosemide, Lorazepam, Metformin, Omeprazole",2.0
"Cisplatin, Pemetrexed, Vinorelbine, Furosemide, Salbutamol",2.0
"Carboplatin, Etoposide, Acetaminophen, Amlodipine, Metformin",2.0
"Afatinib, Dexamethasone, Fentanyl, Lorazepam, Omeprazole",2.0
"Afatinib, Atenolol, Atorvastatin, Furosemide, Lorazepam, Metformin, Omeprazole",2.0
"Pemetrexed, Acetaminophen, Amlodipine, Atorvastatin, Enalapril, Omeprazole, Salbutamol",2.0
"Gemcitabine, Acetaminophen, Atenolol, Lormetazepam, Simvastatin",2.0
"Carboplatin, Amlodipine, Atenolol, Atorvastatin, Omeprazole",2.0
"Paclitaxel, Acetaminophen, Allopurinol, Amlodipine, Atorvastatin, Metformin, Omeprazole",2.0
"Cisplatin, Vinorelbine, Lorazepam, Metformin, Omeprazole",2.0
"Osimertinib, Dexamethasone, Fentanyl, Lorazepam, Omeprazole",2.0
"Carboplatin, Vinorelbine, Acetaminophen, Amoxicillin, Tramadol",2.0
"Carboplatin, Paclitaxel, Atorvastatin, Enalapril, Omeprazole",2.0
"Carboplatin, Etoposide, Amlodipine, Atorvastatin, Metformin",2.0
"Cisplatin, Vinorelbine, Atenolol, Atorvastatin, Omeprazole",2.0
"Carboplatin, Paclitaxel, Dexamethasone, Fentanyl, Lorazepam, Omeprazole",2.0
"Carboplatin, Pemetrexed, Dexamethasone, Levofloxacin, Omeprazole, Simvastatin",2.0
"Carboplatin, Etoposide, Acetaminophen, Atenolol, Lormetazepam, Simvastatin",2.0
"Carboplatin, Paclitaxel, Allopurinol, Fentanyl, Omeprazole",2.0
"Cisplatin, Vinorelbine, Enalapril, Omeprazole, Simvastatin",2.0
"Carboplatin, Etoposide, Ceftriaxone, Levofloxacin, Metformin, Prednisone",2.0
"Cisplatin, Gemcitabine, Atenolol, Atorvastatin, Omeprazole, Simvastatin",2.0
"Erlotinib, Acetaminophen, Amlodipine, Lorazepam, Omeprazole",2.0
"Carboplatin, Pemetrexed, Atorvastatin, Lorazepam, Omeprazole",2.0
"Carboplatin, Vinorelbine, Enalapril, Furosemide, Omeprazole, Simvastatin",2.0
"Carboplatin, Paclitaxel, Amlodipine, Atorvastatin, Enalapril, Metformin",2.0
"Cisplatin, Vinorelbine, Atorvastatin, Enalapril, Enoxaparin, Omeprazole",2.0
"Carboplatin, Paclitaxel, Atorvastatin, Enalapril, Ranitidine",2.0
"Carboplatin, Vinorelbine, Acetaminophen, Atenolol, Fentanyl, Omeprazole, Simvastatin",2.0
"Cisplatin, Vinorelbine, Enalapril, Metformin, Omeprazole",2.0
"Afatinib, Acetaminophen, Amlodipine, Lorazepam, Omeprazole",2.0
"Afatinib, Acetaminophen, Ibuprofen, Omeprazole, Tramadol",1.0
"Carboplatin, Etoposide, Atorvastatin, Enalapril, Metformin, Omeprazole",1.0
"Carboplatin, Amlodipine, Atorvastatin, Metformin, Omeprazole",1.0
"Cisplatin, Vinorelbine, Enalapril, Levofloxacin, Simvastatin",1.0
"Cisplatin, Acetaminophen, Amoxicillin, Dexketoprofen, Metformin, Omeprazole, Ranitidine",1.0
"Carboplatin, Etoposide, Dexketoprofen, Levofloxacin, Lorazepam, Lormetazepam, Omeprazole, Tramadol",1.0
"Cisplatin, Vinorelbine, Acetaminophen, Metformin, Tramadol",1.0
"Carboplatin, Etoposide, Atenolol, Atorvastatin, Ranitidine",1.0
"Nivolumab, Atorvastatin, Enalapril, Metformin, Omeprazole",0.0
"Docetaxel, Pemetrexed, Atenolol, Omeprazole, Simvastatin",0.0
"Carboplatin, Etoposide, Furosemide, Metformin, Omeprazole",0.0
"Pembrolizumab, Dexamethasone, Levofloxacin, Omeprazole, Simvastatin",0.0
"Carboplatin, Paclitaxel, Acetaminophen, Amlodipine, Atorvastatin, Enalapril, Omeprazole, Simvastatin",0.0
"Cisplatin, Vinorelbine, Atenolol, Omeprazole, Simvastatin",0.0
"Etoposide, Acetaminophen, Amlodipine, Atorvastatin, Enalapril, Omeprazole, Simvastatin",0.0
"Cisplatin, Vinorelbine, Enalapril, Omeprazole, Simvastatin",0.0
"Cisplatin, Pemetrexed, Vinorelbine, Lorazepam, Omeprazole, Simvastatin",0.0
"Carboplatin, Atorvastatin, Furosemide, Metformin, Omeprazole",0.0
"Cisplatin, Acetaminophen, Atenolol, Fentanyl, Omeprazole, Simvastatin",0.0
"Pemetrexed, Amoxicillin, Atenolol, Ceftriaxone, Lormetazepam, Omeprazole",0.0
"Cisplatin, Pemetrexed, Enalapril, Lorazepam, Omeprazole",0.0
